rank	char	frequency_weight
5266	钯	6.731400538422672e-07
5267	瘆	6.730778271186337e-07
5268	綦	6.701649954141303e-07
5269	芨	6.65186323479677e-07
5270	衿	6.631697836491273e-07
5271	勐	6.631541518151711e-07
5272	诂	6.620753883409977e-07
5273	钎	6.591388082733685e-07
5274	伥	6.581625535564848e-07
5275	亳	6.581354984592529e-07
5276	沨	6.571989245516426e-07
5277	牝	6.571388021133495e-07
5278	尻	6.570651521264405e-07
5279	畹	6.561799829035709e-07
5280	虢	6.561421057674461e-07
5281	麂	6.561018237337897e-07
5282	踅	6.551865932917736e-07
5283	阄	6.5314870999563e-07
5284	棫	6.521980073150208e-07
5285	鹳	6.511066181288058e-07
5286	酃	6.501949950330872e-07
5287	诒	6.491411823708053e-07
5288	艽	6.481868723438987e-07
5289	塬	6.481745472440485e-07
5290	郗	6.481471915346251e-07
5291	泔	6.470912745870031e-07
5292	垭	6.461069033409498e-07
5293	豸	6.451468816824053e-07
5294	矾	6.441156149344834e-07
5295	钣	6.420221183829184e-07
5296	铖	6.411799367034286e-07
5297	鳃	6.390732132154392e-07
5298	癔	6.390596856668232e-07
5299	郫	6.39031728733017e-07
5300	冁	6.361913445666569e-07
5301	橐	6.351672925113301e-07
5302	醪	6.35080716200188e-07
5303	艄	6.331630777806306e-07
5304	嗞	6.321564612324089e-07
5305	杼	6.310770965338524e-07
5306	莒	6.281311974882878e-07
5307	襦	6.280551426038469e-07
5308	猁	6.27160053178659e-07
5309	螯	6.270864031917499e-07
5310	趵	6.270560413604119e-07
5311	爿	6.251657586502779e-07
5312	骐	6.240927068077422e-07
5313	洌	6.231699610609394e-07
5314	豕	6.221305777838479e-07
5315	槚	6.211879916324084e-07
5316	邛	6.211558261279216e-07
5317	晷	6.21147108374369e-07
5318	炆	6.191005073246728e-07
5319	诤	6.181263568931295e-07
5320	鋆	6.171717462540313e-07
5321	酡	6.161735468471706e-07
5322	虻	6.161392770573435e-07
5323	炝	6.160427805438829e-07
5324	畲	6.131428751636127e-07
5325	擘	6.131290470028052e-07
5326	枞	6.120983814792663e-07
5327	鼐	6.081572891487555e-07
5328	叻	6.070851391427943e-07
5329	讦	6.061157985063143e-07
5330	讣	6.061109887112509e-07
5331	贽	6.051398444016221e-07
5332	歙	6.05109482570284e-07
5333	凫	6.041449517288676e-07
5334	莳	6.041251113242308e-07
5335	辂	5.991650773456483e-07
5336	鳏	5.991118689877589e-07
5337	锱	5.980655716302636e-07
5338	珙	5.96158755249599e-07
5339	蜮	5.941692705162814e-07
5340	洮	5.931560404998475e-07
5341	樯	5.901016204531637e-07
5342	蕲	5.891503165481715e-07
5343	猞	5.891244638997055e-07
5344	妁	5.861091234379124e-07
5345	枳	5.860523077337253e-07
5346	郴	5.850736481193099e-07
5347	烃	5.850222434345692e-07
5348	呖	5.841686384918035e-07
5349	貊	5.841587182894852e-07
5350	蚺	5.841506017603157e-07
5351	澧	5.841235466630838e-07
5352	楫	5.821346631541489e-07
5353	馐	5.811274453815444e-07
5354	媪	5.80147583318363e-07
5355	茏	5.791629114601183e-07
5356	琚	5.771671138707798e-07
5357	辚	5.771629053000993e-07
5358	铧	5.77152383873398e-07
5359	怛	5.760856448868831e-07
5360	逑	5.75152377713379e-07
5361	陟	5.741340372896902e-07
5362	髡	5.730525683057935e-07
5363	褡	5.721520678611591e-07
5364	侪	5.721042705227161e-07
5365	岘	5.720763135889098e-07
5366	嫱	5.711658929419571e-07
5367	苌	5.711388378447251e-07
5368	薹	5.71122003562003e-07
5369	镛	5.711126845840676e-07
5370	筌	5.701619819034586e-07
5371	醮	5.701421414988218e-07
5372	镗	5.701334237452693e-07
5373	抟	5.671261998126456e-07
5374	苎	5.661292028545508e-07
5375	郾	5.651523469132842e-07
5376	枰	5.611102488864411e-07
5377	鄞	5.591084390532733e-07
5378	嗄	5.581631473921106e-07
5379	纛	5.581433069874738e-07
5380	菟	5.561129389961169e-07
5381	龃	5.561006138962667e-07
5382	孳	5.551027151015975e-07
5383	垓	5.54116239570204e-07
5384	溴	5.530266540571376e-07
5385	髭	5.521402823855023e-07
5386	侉	5.521285585100351e-07
5387	嬗	5.521225462662057e-07
5388	痼	5.491108131507101e-07
5389	瀣	5.460927671791937e-07
5390	箜	5.451189173598417e-07
5391	耋	5.440846444900052e-07
5392	罅	5.421306319952805e-07
5393	疥	5.410978621864012e-07
5394	喁	5.391513649964631e-07
5395	仝	5.391276166333374e-07
5396	缟	5.391164939822531e-07
5397	晞	5.331191810119194e-07
5398	榉	5.330936289756448e-07
5399	鲧	5.321125644636977e-07
5400	蹰	5.321002393638475e-07
5401	酆	5.311408189296859e-07
5402	踯	5.311408189296859e-07
5403	妯	5.311146656690284e-07
5404	悒	5.291471256256878e-07
5405	蚨	5.291438188915817e-07
5406	鲅	5.290632548242688e-07
5407	畦	5.281381041799343e-07
5408	玕	5.271489231388176e-07
5409	邰	5.26126975368831e-07
5410	蝮	5.261194600640444e-07
5411	胪	5.231260642922283e-07
5412	祆	5.230806718513168e-07
5413	轭	5.230367824713629e-07
5414	鬻	5.22092693258966e-07
5415	棹	5.210932914033395e-07
5416	薨	5.201344721935608e-07
5417	螟	5.201299630106889e-07
5418	綮	5.191501009475076e-07
5419	萸	5.180995950193318e-07
5420	樗	5.161320549759912e-07
5421	咴	5.141542941181407e-07
5422	兕	5.141269384087172e-07
5423	躅	5.121386561241655e-07
5424	圻	5.121164108219969e-07
5425	荇	5.110938618276276e-07
5426	鼋	5.091055795430757e-07
